id,post_url,post_title,post_author,post_date,video_url,embed_type,reachable,status,transcript_lol_id,transcript_url,failure_reason,captured_at
bc0ce8b696ea465f,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/5fbdb5d1,Underwriting & Calculators,,,https://youtu.be/EjuGQVX2DyI?si=g4kVBc9yuqaDW1Lw,youtube,yes,pending,,,,2026-06-11T18:04:11+00:00
ba71628ff1a01d68,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/5fbdb5d1?md=170d705f957a453aa06419e835aeb8ff,Creative Finance Coliving Calculator,,,https://youtu.be/nXcUhqzi5VU,youtube,yes,pending,,,,2026-06-11T18:04:11+00:00
876ef610a3acb28d,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/5fbdb5d1?md=7005d7aa08b44f6eaf93d8e16b364839,Houston Property,,,https://stream.video.skool.com/X02NAKnC8PAjjExq3ucr9hCIVz57JnY700zCdQE02B1LaI.m3u8?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ2IiwiZXhwIjoxNzgxMjg5MDQ4LCJraWQiOiJPVjIwMHZ6SWZuZFVCNHdXdTAxbDRjb0hrYTVQQUd3TlYwMEtZSkJrQkppVlFrIiwicGxheWJhY2tfcmVzdHJpY3Rpb25faWQiOiIzMDJ2dXNuVG1lbW1QSzllOUpMaWxaUmpnVkJ3T2hTNlVLdGkyWnhJS2V1WSIsInN1YiI6IlgwMk5BS25DOFBBampFeHEzdWNyOWhDSVZ6NTdKblk3MDB6Q2RRRTAyQjFMYUkifQ.2GL7ztj6JXew_OkjGxdRDckpiwJdXXD0uLzEMZZMZQQAmWYrVedMw5wN0CppVSyFl4xpVHS874z8fs7Kj_6S9wV_iSdRqPVxiOZMNZm_fW2gOxUC4fcWdDsR3E7pPU1fQuAF6YfcoYHJ4ucMKpSKwmTdtXA5vxtcPTSR3pjO4IRhsUZorvWHDPW5AvqSmWjVyIwIxhwXJ87vjxnskL7UrssRrdcWxCLGdHQHfpoYPLYltUq6nuwwMyV0pHOj-EPncoUmskxCA2yhSx1x5JWLsWilKm42R08DH6T1HnOEVEQQ9nu3Im6twsJIp0M7ppBwkXAGd7OvyvpovfjZ1eDFaw,m3u8,yes,LOCAL_TRANSCRIBED,,,,2026-06-11T18:04:23+00:00
ea49d753676663d6,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/4437f016,About Me,,,https://youtu.be/8JFORhvm-RA?si=_6kAfHvYPyWEavEH,youtube,yes,pending,,,,2026-06-11T18:04:32+00:00
a7eaa7b807275710,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/4437f016?md=3e91bd68f4d2405ab3c0c256360f64e9,Who is Andres Martinez?,,,https://youtu.be/0UwxHCqX6qs?si=LtKMfm7MFPE7Kdba,youtube,yes,pending,,,,2026-06-11T18:04:32+00:00
1db3cd0991c990ba,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/d38e0029?md=557b2c25686b4ffc8b1ce31e39aa0e4e,Coliving Construction Mastermind 09/17,,,https://stream.video.skool.com/8T1IT02FgPSvVMegeV1PuuCGIMFmze008MUTi9GJvv02oE.m3u8?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ2IiwiZXhwIjoxNzgxMjkxNjU2LCJraWQiOiJPVjIwMHZ6SWZuZFVCNHdXdTAxbDRjb0hrYTVQQUd3TlYwMEtZSkJrQkppVlFrIiwicGxheWJhY2tfcmVzdHJpY3Rpb25faWQiOiIzMDJ2dXNuVG1lbW1QSzllOUpMaWxaUmpnVkJ3T2hTNlVLdGkyWnhJS2V1WSIsInN1YiI6IjhUMUlUMDJGZ1BTdlZNZWdlVjFQdXVDR0lNRm16ZTAwOE1VVGk5R0p2djAyb0UifQ.aCfa0EUBCnhFsZzxs79rITMOiFytQwwwr3OzIiDMUJJYeuaokj_iq82YQp1KVnOx0DwpVSbaIhMBb7Bw4ioQB_InxC-KAEBcK7sipbXjvanvUu5NEmJutlViqHu2lRPmwmlzHNUN50pIyirFZScrGqKPqoZHASmI743sefqGXs28-gucTMneSq-2xR0DtsoeuhNLvSSkgidwpjBwdE99S8dZ2U_En3EDaJwsH9snVopWBbyXiv-8OQH6gDGlu4hIThVf65T8MzDhCsLBHjwZf1nyeKW8yu1JNj57_G2AsEq0IJ79SWrmY7jryMth5FHEhPXfWj5bMu3JCN0pWfP7JA,m3u8,yes,LOCAL_TRANSCRIBED,,,,2026-06-11T18:04:54+00:00
a41b56dc9763a830,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/d38e0029?md=b2cbdb34eac24ed3a86b53846f7c9f8c,"Underwriting, I bought this house 09/24",,,https://stream.video.skool.com/ntKp7qKGIz4psAwzd1hEgm6A16312bZU01SIagpC97RA.m3u8?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ2IiwiZXhwIjoxNzgxMjkzNjAwLCJraWQiOiJPVjIwMHZ6SWZuZFVCNHdXdTAxbDRjb0hrYTVQQUd3TlYwMEtZSkJrQkppVlFrIiwicGxheWJhY2tfcmVzdHJpY3Rpb25faWQiOiIzMDJ2dXNuVG1lbW1QSzllOUpMaWxaUmpnVkJ3T2hTNlVLdGkyWnhJS2V1WSIsInN1YiI6Im50S3A3cUtHSXo0cHNBd3pkMWhFZ202QTE2MzEyYlpVMDFTSWFncEM5N1JBIn0.us9btp3RyOKdsa9bZLuOqPPma99ff-HI-up9n0eZhS-5VMta1yc2jYAvECxh7rbmXQDT6VhrDo2YJPkxuF_ON-Znu5p9nA2HsKaq7uzsRGp-JeskSdEM05v4UOwTRwZllCzANoqbLHXYM-idLAik7tqfXUCYCBBi9Ok7mGK2NyRMU__dwYYA60I4cIly5fD4rH_4i6XDWVVnoiI8kjXYeNP_einOMqhFdNNgR_T9al4jzi8qwOAliaoT_zsfJFpfFzt2NrHZm8VuVFtAKq5jeAfh5S3iRlY0pipLQRdNvFEM0IlmtqTQYkilT64avUsL9oWdH59utfH15SPxbkAU1Q,m3u8,yes,LOCAL_TRANSCRIBED,,,,2026-06-11T18:05:06+00:00
f1596dcf79c963d9,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/d38e0029?md=f9b923a90a7541afb0a35f5223719e7f,My SOPs: tenant screening & onboarding 10/15,,,https://stream.video.skool.com/tota8p1Z6AuEypWtHwFgmqHiIROdon4dJUwUI010100ksc.m3u8?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ2IiwiZXhwIjoxNzgxMjk0NTg4LCJraWQiOiJPVjIwMHZ6SWZuZFVCNHdXdTAxbDRjb0hrYTVQQUd3TlYwMEtZSkJrQkppVlFrIiwicGxheWJhY2tfcmVzdHJpY3Rpb25faWQiOiIzMDJ2dXNuVG1lbW1QSzllOUpMaWxaUmpnVkJ3T2hTNlVLdGkyWnhJS2V1WSIsInN1YiI6InRvdGE4cDFaNkF1RXlwV3RId0ZnbXFIaUlST2RvbjRkSlV3VUkwMTAxMDBrc2MifQ.tJBWhCqUpZDveiqaqfn0fn2G5a3Lb44g0kZAeWyO3WDCIj2JS0KKN-6FNGWqgWJZffzJXK7bXDXr595JJQE58Lu0Qy3pPDWH0H3lG5uMu1hW0PGaa4Zs4zOpMqzD71YKrZj1T6JGWNGIs3m2ypoBs73KCpsh--9icBluMX7hPLxDLef3s4wXeBqHnBYd61hqYbbSy7-cbEcssTjJlqi8WqG65MZOzYeTOFOjaF0pjwdFRKBqFyOkwPFOjW9-qHSMWJX3oELbzFlweqes-t526umo7IDigL5PKDPojzHmD-n0qMyM8v_WBhrFBvlGbkhXKsZ69rm2-SER6_YrL6Kvgg,m3u8,yes,LOCAL_TRANSCRIBED,,,,2026-06-11T18:05:18+00:00
a278021d741021b1,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/d38e0029?md=cdad0a400e514efab837944fba0ac53d,Padsplit Underwriting: Deal or No Deal? 10/22,,,https://stream.video.skool.com/9wz2ZvdhjXMrmOl01y6YgjSEI7n9e500MTXZl6oHMHZEs.m3u8?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ2IiwiZXhwIjoxNzgxMjk0NDYwLCJraWQiOiJPVjIwMHZ6SWZuZFVCNHdXdTAxbDRjb0hrYTVQQUd3TlYwMEtZSkJrQkppVlFrIiwicGxheWJhY2tfcmVzdHJpY3Rpb25faWQiOiIzMDJ2dXNuVG1lbW1QSzllOUpMaWxaUmpnVkJ3T2hTNlVLdGkyWnhJS2V1WSIsInN1YiI6Ijl3ejJadmRoalhNcm1PbDAxeTZZZ2pTRUk3bjllNTAwTVRYWmw2b0hNSFpFcyJ9.vGHj0Iyk7z7wLkgfXakFTN8A2bNFaBTnUjOSHfjH20cSQhfNLSUv7ee6eNvZHdW3CylC_k7DeYaCcaBMWQSBNCKdL9VXFH5PT446b1qcT2MZIqebDwfZBcbFpXg-k3geojEzS8QyJatf6Uc4DmOOARY5iNsIOlk7YRGNlysl7vNG2TKM7kuAdKp1tHsFoSwUCnkYZPQnB0cEi9wD4TlFUzF4wtoho_AXZs49xsAZ0A-FZ6X6MtyUn3Hy5LaMI0lN1NSOBLi7xvbJhHQcOjqUibUXAzmoYZO8qjtJHV1vfLcw8DJ6hQrwR-D_ozfWOunZgHImAjUdZFO1l9-E98Pieg,m3u8,yes,LOCAL_TRANSCRIBED,,,,2026-06-11T18:05:31+00:00
29c4d2c2443275f4,https://www.skool.com/coliving-freedom-unlocked-5532/classroom/d38e0029?md=b87aa759c9f04c729eae8248de2fce19,Tenant Acquisition: The Sales Process 01/11,,,https://stream.video.skool.com/EKc00rPmHFMvE3lScpi2yQ6Gqn30034Hbx02y55dYudxZs.m3u8?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ2IiwiZXhwIjoxNzgxMjk1MTgxLCJraWQiOiJPVjIwMHZ6SWZuZFVCNHdXdTAxbDRjb0hrYTVQQUd3TlYwMEtZSkJrQkppVlFrIiwicGxheWJhY2tfcmVzdHJpY3Rpb25faWQiOiIzMDJ2dXNuVG1lbW1QSzllOUpMaWxaUmpnVkJ3T2hTNlVLdGkyWnhJS2V1WSIsInN1YiI6IkVLYzAwclBtSEZNdkUzbFNjcGkyeVE2R3FuMzAwMzRIYngwMnk1NWRZdWR4WnMifQ.ClAe_c2QwpBkpzQpXIatUX8aPeC0sHGc3oLwBhykmt23hWTRxn0qihN1k-sPscWmRLBFohIoBqzigV3g6naYbhcDCxM4eUNEqe260P7kDpjeJ7y0snEkkITbd32YIRGOfEELJJVMh71DAOiQ4inEU3fABW-1otxQlyld3zcqZiQJKQuQHNzJnbLppUVzv4U2R22xTwNwBoteJ6YkPZx7VRBj0ER49MW-uVD53e-UEnVkgVNHv33cVf1bc9-Kb3ltuT2rXjlwIiOchT73rCZfk2uLtPS-HGItUb6FjGYRp2L_sn5ACOAqPBRN0Btn-qLdcUU_oEl7h_CoHFsaiN4sXQ,m3u8,yes,LOCAL_TRANSCRIBED,,,,2026-06-11T18:05:43+00:00
